quantum_value,greedy_value,opt_value,number_nodes,number_edges,nb_sg,nb_mis,expl_thres:,graph_solved_list_num_edges,graph_solved_list_num_nodes,solution_quantum,solution_greedy,solution_cplex
4.0557,4.8563,6.1549999999999985,234,17610,1,1,10,[23],[15],"['l_d_3-R_d_318', 'l_d_0-R_a_294', 'l_d_1-R_a_296', 'l_a_0-R_d_317', 'l_h_1-R_h_272', 'l_h_2-R_a_299', 'l_h_1-R_h_63', 'l_d_2-R_d_317', 'l_a_1-R_d_318']","['l_h_2-R_d_319', 'l_d_3-R_d_320', 'l_d_0-R_d_321', 'l_d_2-R_d_318', 'l_h_0-R_a_296', 'l_d_1-R_a_299', 'l_a_0-R_d_318', 'l_a_1-R_d_320', 'l_d_0-R_a_300', 'l_h_2-R_a_298']","['l_d_0-R_a_298', 'l_d_0-R_d_319', 'l_d_1-R_a_301', 'l_d_2-R_a_299', 'l_d_3-R_d_321', 'l_d_3-R_a_300', 'l_a_0-R_a_299', 'l_a_1-R_d_321', 'l_a_1-R_a_300', 'l_h_0-R_d_320', 'l_h_1-R_d_155', 'l_h_2-R_d_154', 'l_h_2-R_a_143']"
4.0557,4.8563,6.1549999999999985,234,17610,1,1,15,[23],[15],"['l_d_3-R_d_318', 'l_d_0-R_a_294', 'l_d_1-R_a_296', 'l_a_0-R_d_317', 'l_h_1-R_h_272', 'l_h_2-R_a_299', 'l_h_1-R_h_63', 'l_d_2-R_d_317', 'l_a_1-R_d_318']","['l_h_2-R_d_319', 'l_d_3-R_d_320', 'l_d_0-R_d_321', 'l_d_2-R_d_318', 'l_h_0-R_a_296', 'l_d_1-R_a_299', 'l_a_0-R_d_318', 'l_a_1-R_d_320', 'l_d_0-R_a_300', 'l_h_2-R_a_298']","['l_d_0-R_a_298', 'l_d_0-R_d_319', 'l_d_1-R_a_301', 'l_d_2-R_a_299', 'l_d_3-R_d_321', 'l_d_3-R_a_300', 'l_a_0-R_a_299', 'l_a_1-R_d_321', 'l_a_1-R_a_300', 'l_h_0-R_d_320', 'l_h_1-R_d_155', 'l_h_2-R_d_154', 'l_h_2-R_a_143']"
4.0557,4.8563,6.1549999999999985,234,17610,1,2,10,[23],[15],"['l_d_3-R_d_318', 'l_d_0-R_a_294', 'l_d_1-R_a_296', 'l_a_0-R_d_317', 'l_h_1-R_h_272', 'l_h_2-R_a_299', 'l_h_1-R_h_63', 'l_d_2-R_d_317', 'l_a_1-R_d_318']","['l_h_2-R_d_319', 'l_d_3-R_d_320', 'l_d_0-R_d_321', 'l_d_2-R_d_318', 'l_h_0-R_a_296', 'l_d_1-R_a_299', 'l_a_0-R_d_318', 'l_a_1-R_d_320', 'l_d_0-R_a_300', 'l_h_2-R_a_298']","['l_d_0-R_a_298', 'l_d_0-R_d_319', 'l_d_1-R_a_301', 'l_d_2-R_a_299', 'l_d_3-R_d_321', 'l_d_3-R_a_300', 'l_a_0-R_a_299', 'l_a_1-R_d_321', 'l_a_1-R_a_300', 'l_h_0-R_d_320', 'l_h_1-R_d_155', 'l_h_2-R_d_154', 'l_h_2-R_a_143']"
4.0557,4.8563,6.1549999999999985,234,17610,1,2,15,[23],[15],"['l_d_3-R_d_318', 'l_d_0-R_a_294', 'l_d_1-R_a_296', 'l_a_0-R_d_317', 'l_h_1-R_h_272', 'l_h_2-R_a_299', 'l_h_1-R_h_63', 'l_d_2-R_d_317', 'l_a_1-R_d_318']","['l_h_2-R_d_319', 'l_d_3-R_d_320', 'l_d_0-R_d_321', 'l_d_2-R_d_318', 'l_h_0-R_a_296', 'l_d_1-R_a_299', 'l_a_0-R_d_318', 'l_a_1-R_d_320', 'l_d_0-R_a_300', 'l_h_2-R_a_298']","['l_d_0-R_a_298', 'l_d_0-R_d_319', 'l_d_1-R_a_301', 'l_d_2-R_a_299', 'l_d_3-R_d_321', 'l_d_3-R_a_300', 'l_a_0-R_a_299', 'l_a_1-R_d_321', 'l_a_1-R_a_300', 'l_h_0-R_d_320', 'l_h_1-R_d_155', 'l_h_2-R_d_154', 'l_h_2-R_a_143']"
4.675,4.8563,6.1549999999999985,234,17610,1,3,10,[23],[15],"['l_d_3-R_d_318', 'l_h_1-R_d_320', 'l_d_0-R_d_321', 'l_d_1-R_a_296', 'l_a_0-R_d_317', 'l_h_2-R_a_301', 'l_d_0-R_a_300', 'l_d_2-R_d_317', 'l_a_1-R_d_318', 'l_h_0-R_h_272']","['l_h_2-R_d_319', 'l_d_3-R_d_320', 'l_d_0-R_d_321', 'l_d_2-R_d_318', 'l_h_0-R_a_296', 'l_d_1-R_a_299', 'l_a_0-R_d_318', 'l_a_1-R_d_320', 'l_d_0-R_a_300', 'l_h_2-R_a_298']","['l_d_0-R_a_298', 'l_d_0-R_d_319', 'l_d_1-R_a_301', 'l_d_2-R_a_299', 'l_d_3-R_d_321', 'l_d_3-R_a_300', 'l_a_0-R_a_299', 'l_a_1-R_d_321', 'l_a_1-R_a_300', 'l_h_0-R_d_320', 'l_h_1-R_d_155', 'l_h_2-R_d_154', 'l_h_2-R_a_143']"
4.675,4.8563,6.1549999999999985,234,17610,1,3,15,[23],[15],"['l_d_3-R_d_318', 'l_h_1-R_d_320', 'l_d_0-R_d_321', 'l_d_1-R_a_296', 'l_a_0-R_d_317', 'l_h_2-R_a_301', 'l_d_0-R_a_300', 'l_d_2-R_d_317', 'l_a_1-R_d_318', 'l_h_0-R_h_272']","['l_h_2-R_d_319', 'l_d_3-R_d_320', 'l_d_0-R_d_321', 'l_d_2-R_d_318', 'l_h_0-R_a_296', 'l_d_1-R_a_299', 'l_a_0-R_d_318', 'l_a_1-R_d_320', 'l_d_0-R_a_300', 'l_h_2-R_a_298']","['l_d_0-R_a_298', 'l_d_0-R_d_319', 'l_d_1-R_a_301', 'l_d_2-R_a_299', 'l_d_3-R_d_321', 'l_d_3-R_a_300', 'l_a_0-R_a_299', 'l_a_1-R_d_321', 'l_a_1-R_a_300', 'l_h_0-R_d_320', 'l_h_1-R_d_155', 'l_h_2-R_d_154', 'l_h_2-R_a_143']"
4.7614,4.8563,6.1549999999999985,234,17610,1,4,10,"[23, 8]","[15, 6]","['l_d_3-R_d_318', 'l_d_0-R_d_321', 'l_d_1-R_a_296', 'l_a_0-R_d_317', 'l_h_1-R_a_299', 'l_h_2-R_a_301', 'l_h_0-R_h_272', 'l_d_0-R_a_300', 'l_d_2-R_d_317', 'l_a_1-R_d_318']","['l_h_2-R_d_319', 'l_d_3-R_d_320', 'l_d_0-R_d_321', 'l_d_2-R_d_318', 'l_h_0-R_a_296', 'l_d_1-R_a_299', 'l_a_0-R_d_318', 'l_a_1-R_d_320', 'l_d_0-R_a_300', 'l_h_2-R_a_298']","['l_d_0-R_a_298', 'l_d_0-R_d_319', 'l_d_1-R_a_301', 'l_d_2-R_a_299', 'l_d_3-R_d_321', 'l_d_3-R_a_300', 'l_a_0-R_a_299', 'l_a_1-R_d_321', 'l_a_1-R_a_300', 'l_h_0-R_d_320', 'l_h_1-R_d_155', 'l_h_2-R_d_154', 'l_h_2-R_a_143']"
4.7614,4.8563,6.1549999999999985,234,17610,1,4,15,"[23, 8]","[15, 6]","['l_d_3-R_d_318', 'l_d_0-R_d_321', 'l_d_1-R_a_296', 'l_a_0-R_d_317', 'l_h_1-R_a_299', 'l_h_2-R_a_301', 'l_h_0-R_h_272', 'l_d_0-R_a_300', 'l_d_2-R_d_317', 'l_a_1-R_d_318']","['l_h_2-R_d_319', 'l_d_3-R_d_320', 'l_d_0-R_d_321', 'l_d_2-R_d_318', 'l_h_0-R_a_296', 'l_d_1-R_a_299', 'l_a_0-R_d_318', 'l_a_1-R_d_320', 'l_d_0-R_a_300', 'l_h_2-R_a_298']","['l_d_0-R_a_298', 'l_d_0-R_d_319', 'l_d_1-R_a_301', 'l_d_2-R_a_299', 'l_d_3-R_d_321', 'l_d_3-R_a_300', 'l_a_0-R_a_299', 'l_a_1-R_d_321', 'l_a_1-R_a_300', 'l_h_0-R_d_320', 'l_h_1-R_d_155', 'l_h_2-R_d_154', 'l_h_2-R_a_143']"
4.7614,4.8563,6.1549999999999985,234,17610,1,5,10,"[23, 8]","[15, 6]","['l_d_3-R_d_318', 'l_d_0-R_d_321', 'l_d_1-R_a_296', 'l_a_0-R_d_317', 'l_h_1-R_a_299', 'l_h_2-R_a_301', 'l_h_0-R_h_272', 'l_d_0-R_a_300', 'l_d_2-R_d_317', 'l_a_1-R_d_318']","['l_h_2-R_d_319', 'l_d_3-R_d_320', 'l_d_0-R_d_321', 'l_d_2-R_d_318', 'l_h_0-R_a_296', 'l_d_1-R_a_299', 'l_a_0-R_d_318', 'l_a_1-R_d_320', 'l_d_0-R_a_300', 'l_h_2-R_a_298']","['l_d_0-R_a_298', 'l_d_0-R_d_319', 'l_d_1-R_a_301', 'l_d_2-R_a_299', 'l_d_3-R_d_321', 'l_d_3-R_a_300', 'l_a_0-R_a_299', 'l_a_1-R_d_321', 'l_a_1-R_a_300', 'l_h_0-R_d_320', 'l_h_1-R_d_155', 'l_h_2-R_d_154', 'l_h_2-R_a_143']"
4.7614,4.8563,6.1549999999999985,234,17610,1,5,15,"[23, 8]","[15, 6]","['l_d_3-R_d_318', 'l_d_0-R_d_321', 'l_d_1-R_a_296', 'l_a_0-R_d_317', 'l_h_1-R_a_299', 'l_h_2-R_a_301', 'l_h_0-R_h_272', 'l_d_0-R_a_300', 'l_d_2-R_d_317', 'l_a_1-R_d_318']","['l_h_2-R_d_319', 'l_d_3-R_d_320', 'l_d_0-R_d_321', 'l_d_2-R_d_318', 'l_h_0-R_a_296', 'l_d_1-R_a_299', 'l_a_0-R_d_318', 'l_a_1-R_d_320', 'l_d_0-R_a_300', 'l_h_2-R_a_298']","['l_d_0-R_a_298', 'l_d_0-R_d_319', 'l_d_1-R_a_301', 'l_d_2-R_a_299', 'l_d_3-R_d_321', 'l_d_3-R_a_300', 'l_a_0-R_a_299', 'l_a_1-R_d_321', 'l_a_1-R_a_300', 'l_h_0-R_d_320', 'l_h_1-R_d_155', 'l_h_2-R_d_154', 'l_h_2-R_a_143']"
