quantum_value,greedy_value,opt_value,number_nodes,number_edges,nb_sg,nb_mis,expl_thres:,graph_solved_list_num_edges,graph_solved_list_num_nodes,solution_quantum,solution_greedy,solution_cplex
5.392099999999999,5.452299999999999,6.3687,253,23953,1,1,10,[22],[14],"['l_d_0-R_d_185', 'l_h_4-R_a_166', 'l_h_1-R_d_179', 'l_p_0-R_d_186', 'l_h_2-R_a_166', 'l_p_1-R_a_161', 'l_d_2-R_a_161', 'l_d_0-R_a_167', 'l_d_1-R_d_186', 'l_a_0-R_d_185', 'l_a_0-R_a_167']","['l_p_1-R_d_185', 'l_h_1-R_h_39', 'l_h_4-R_a_165', 'l_d_0-R_d_179', 'l_d_2-R_a_167', 'l_p_0-R_a_166', 'l_h_3-R_a_161', 'l_a_0-R_d_179', 'l_d_1-R_a_166', 'l_d_2-R_d_185', 'l_p_1-R_a_167']","['l_d_0-R_a_280', 'l_d_0-R_n_14', 'l_d_1-R_a_279', 'l_d_2-R_d_198', 'l_d_2-R_a_181', 'l_a_0-R_a_280', 'l_a_0-R_n_14', 'l_p_0-R_a_279', 'l_p_1-R_d_198', 'l_p_1-R_a_181', 'l_h_3-R_h_24']"
5.392099999999999,5.452299999999999,6.3687,253,23953,1,1,15,[22],[14],"['l_d_0-R_d_185', 'l_h_4-R_a_166', 'l_h_1-R_d_179', 'l_p_0-R_d_186', 'l_h_2-R_a_166', 'l_p_1-R_a_161', 'l_d_2-R_a_161', 'l_d_0-R_a_167', 'l_d_1-R_d_186', 'l_a_0-R_d_185', 'l_a_0-R_a_167']","['l_p_1-R_d_185', 'l_h_1-R_h_39', 'l_h_4-R_a_165', 'l_d_0-R_d_179', 'l_d_2-R_a_167', 'l_p_0-R_a_166', 'l_h_3-R_a_161', 'l_a_0-R_d_179', 'l_d_1-R_a_166', 'l_d_2-R_d_185', 'l_p_1-R_a_167']","['l_d_0-R_a_280', 'l_d_0-R_n_14', 'l_d_1-R_a_279', 'l_d_2-R_d_198', 'l_d_2-R_a_181', 'l_a_0-R_a_280', 'l_a_0-R_n_14', 'l_p_0-R_a_279', 'l_p_1-R_d_198', 'l_p_1-R_a_181', 'l_h_3-R_h_24']"
5.4333,5.452299999999999,6.3687,253,23953,1,2,10,[22],[14],"['l_d_2-R_d_185', 'l_h_4-R_a_166', 'l_h_1-R_d_179', 'l_p_0-R_d_186', 'l_h_2-R_a_166', 'l_a_0-R_a_168', 'l_d_0-R_a_168', 'l_d_1-R_d_186', 'l_d_2-R_a_167', 'l_p_1-R_d_185', 'l_p_1-R_a_167', 'l_h_3-R_a_161']","['l_p_1-R_d_185', 'l_h_1-R_h_39', 'l_h_4-R_a_165', 'l_d_0-R_d_179', 'l_d_2-R_a_167', 'l_p_0-R_a_166', 'l_h_3-R_a_161', 'l_a_0-R_d_179', 'l_d_1-R_a_166', 'l_d_2-R_d_185', 'l_p_1-R_a_167']","['l_d_0-R_a_280', 'l_d_0-R_n_14', 'l_d_1-R_a_279', 'l_d_2-R_d_198', 'l_d_2-R_a_181', 'l_a_0-R_a_280', 'l_a_0-R_n_14', 'l_p_0-R_a_279', 'l_p_1-R_d_198', 'l_p_1-R_a_181', 'l_h_3-R_h_24']"
5.4333,5.452299999999999,6.3687,253,23953,1,2,15,[22],[14],"['l_d_2-R_d_185', 'l_h_4-R_a_166', 'l_h_1-R_d_179', 'l_p_0-R_d_186', 'l_h_2-R_a_166', 'l_a_0-R_a_168', 'l_d_0-R_a_168', 'l_d_1-R_d_186', 'l_d_2-R_a_167', 'l_p_1-R_d_185', 'l_p_1-R_a_167', 'l_h_3-R_a_161']","['l_p_1-R_d_185', 'l_h_1-R_h_39', 'l_h_4-R_a_165', 'l_d_0-R_d_179', 'l_d_2-R_a_167', 'l_p_0-R_a_166', 'l_h_3-R_a_161', 'l_a_0-R_d_179', 'l_d_1-R_a_166', 'l_d_2-R_d_185', 'l_p_1-R_a_167']","['l_d_0-R_a_280', 'l_d_0-R_n_14', 'l_d_1-R_a_279', 'l_d_2-R_d_198', 'l_d_2-R_a_181', 'l_a_0-R_a_280', 'l_a_0-R_n_14', 'l_p_0-R_a_279', 'l_p_1-R_d_198', 'l_p_1-R_a_181', 'l_h_3-R_h_24']"
5.4333,5.452299999999999,6.3687,253,23953,1,3,10,[22],[14],"['l_d_2-R_d_185', 'l_h_4-R_a_166', 'l_h_1-R_d_179', 'l_p_0-R_d_186', 'l_h_2-R_a_166', 'l_a_0-R_a_168', 'l_d_0-R_a_168', 'l_d_1-R_d_186', 'l_d_2-R_a_167', 'l_p_1-R_d_185', 'l_p_1-R_a_167', 'l_h_3-R_a_161']","['l_p_1-R_d_185', 'l_h_1-R_h_39', 'l_h_4-R_a_165', 'l_d_0-R_d_179', 'l_d_2-R_a_167', 'l_p_0-R_a_166', 'l_h_3-R_a_161', 'l_a_0-R_d_179', 'l_d_1-R_a_166', 'l_d_2-R_d_185', 'l_p_1-R_a_167']","['l_d_0-R_a_280', 'l_d_0-R_n_14', 'l_d_1-R_a_279', 'l_d_2-R_d_198', 'l_d_2-R_a_181', 'l_a_0-R_a_280', 'l_a_0-R_n_14', 'l_p_0-R_a_279', 'l_p_1-R_d_198', 'l_p_1-R_a_181', 'l_h_3-R_h_24']"
5.4333,5.452299999999999,6.3687,253,23953,1,3,15,[22],[14],"['l_d_2-R_d_185', 'l_h_4-R_a_166', 'l_h_1-R_d_179', 'l_p_0-R_d_186', 'l_h_2-R_a_166', 'l_a_0-R_a_168', 'l_d_0-R_a_168', 'l_d_1-R_d_186', 'l_d_2-R_a_167', 'l_p_1-R_d_185', 'l_p_1-R_a_167', 'l_h_3-R_a_161']","['l_p_1-R_d_185', 'l_h_1-R_h_39', 'l_h_4-R_a_165', 'l_d_0-R_d_179', 'l_d_2-R_a_167', 'l_p_0-R_a_166', 'l_h_3-R_a_161', 'l_a_0-R_d_179', 'l_d_1-R_a_166', 'l_d_2-R_d_185', 'l_p_1-R_a_167']","['l_d_0-R_a_280', 'l_d_0-R_n_14', 'l_d_1-R_a_279', 'l_d_2-R_d_198', 'l_d_2-R_a_181', 'l_a_0-R_a_280', 'l_a_0-R_n_14', 'l_p_0-R_a_279', 'l_p_1-R_d_198', 'l_p_1-R_a_181', 'l_h_3-R_h_24']"
5.4333,5.452299999999999,6.3687,253,23953,1,4,10,[22],[14],"['l_d_2-R_d_185', 'l_h_4-R_a_166', 'l_h_1-R_d_179', 'l_p_0-R_d_186', 'l_h_2-R_a_166', 'l_a_0-R_a_168', 'l_d_0-R_a_168', 'l_d_1-R_d_186', 'l_d_2-R_a_167', 'l_p_1-R_d_185', 'l_p_1-R_a_167', 'l_h_3-R_a_161']","['l_p_1-R_d_185', 'l_h_1-R_h_39', 'l_h_4-R_a_165', 'l_d_0-R_d_179', 'l_d_2-R_a_167', 'l_p_0-R_a_166', 'l_h_3-R_a_161', 'l_a_0-R_d_179', 'l_d_1-R_a_166', 'l_d_2-R_d_185', 'l_p_1-R_a_167']","['l_d_0-R_a_280', 'l_d_0-R_n_14', 'l_d_1-R_a_279', 'l_d_2-R_d_198', 'l_d_2-R_a_181', 'l_a_0-R_a_280', 'l_a_0-R_n_14', 'l_p_0-R_a_279', 'l_p_1-R_d_198', 'l_p_1-R_a_181', 'l_h_3-R_h_24']"
5.4333,5.452299999999999,6.3687,253,23953,1,4,15,[22],[14],"['l_d_2-R_d_185', 'l_h_4-R_a_166', 'l_h_1-R_d_179', 'l_p_0-R_d_186', 'l_h_2-R_a_166', 'l_a_0-R_a_168', 'l_d_0-R_a_168', 'l_d_1-R_d_186', 'l_d_2-R_a_167', 'l_p_1-R_d_185', 'l_p_1-R_a_167', 'l_h_3-R_a_161']","['l_p_1-R_d_185', 'l_h_1-R_h_39', 'l_h_4-R_a_165', 'l_d_0-R_d_179', 'l_d_2-R_a_167', 'l_p_0-R_a_166', 'l_h_3-R_a_161', 'l_a_0-R_d_179', 'l_d_1-R_a_166', 'l_d_2-R_d_185', 'l_p_1-R_a_167']","['l_d_0-R_a_280', 'l_d_0-R_n_14', 'l_d_1-R_a_279', 'l_d_2-R_d_198', 'l_d_2-R_a_181', 'l_a_0-R_a_280', 'l_a_0-R_n_14', 'l_p_0-R_a_279', 'l_p_1-R_d_198', 'l_p_1-R_a_181', 'l_h_3-R_h_24']"
5.4333,5.452299999999999,6.3687,253,23953,1,5,10,[22],[14],"['l_d_2-R_d_185', 'l_h_4-R_a_166', 'l_h_1-R_d_179', 'l_p_0-R_d_186', 'l_h_2-R_a_166', 'l_a_0-R_a_168', 'l_d_0-R_a_168', 'l_d_1-R_d_186', 'l_d_2-R_a_167', 'l_p_1-R_d_185', 'l_p_1-R_a_167', 'l_h_3-R_a_161']","['l_p_1-R_d_185', 'l_h_1-R_h_39', 'l_h_4-R_a_165', 'l_d_0-R_d_179', 'l_d_2-R_a_167', 'l_p_0-R_a_166', 'l_h_3-R_a_161', 'l_a_0-R_d_179', 'l_d_1-R_a_166', 'l_d_2-R_d_185', 'l_p_1-R_a_167']","['l_d_0-R_a_280', 'l_d_0-R_n_14', 'l_d_1-R_a_279', 'l_d_2-R_d_198', 'l_d_2-R_a_181', 'l_a_0-R_a_280', 'l_a_0-R_n_14', 'l_p_0-R_a_279', 'l_p_1-R_d_198', 'l_p_1-R_a_181', 'l_h_3-R_h_24']"
5.4333,5.452299999999999,6.3687,253,23953,1,5,15,[22],[14],"['l_d_2-R_d_185', 'l_h_4-R_a_166', 'l_h_1-R_d_179', 'l_p_0-R_d_186', 'l_h_2-R_a_166', 'l_a_0-R_a_168', 'l_d_0-R_a_168', 'l_d_1-R_d_186', 'l_d_2-R_a_167', 'l_p_1-R_d_185', 'l_p_1-R_a_167', 'l_h_3-R_a_161']","['l_p_1-R_d_185', 'l_h_1-R_h_39', 'l_h_4-R_a_165', 'l_d_0-R_d_179', 'l_d_2-R_a_167', 'l_p_0-R_a_166', 'l_h_3-R_a_161', 'l_a_0-R_d_179', 'l_d_1-R_a_166', 'l_d_2-R_d_185', 'l_p_1-R_a_167']","['l_d_0-R_a_280', 'l_d_0-R_n_14', 'l_d_1-R_a_279', 'l_d_2-R_d_198', 'l_d_2-R_a_181', 'l_a_0-R_a_280', 'l_a_0-R_n_14', 'l_p_0-R_a_279', 'l_p_1-R_d_198', 'l_p_1-R_a_181', 'l_h_3-R_h_24']"
